CUSTODY_REQUIREMENT,p_malicious_init,Result
2,0.1,0.665862787854
2,0.2,0.705541830564
2,0.3,0.754158736044
2,0.4,0.80961204499
2,0.5,0.866058317538
2,0.6,0.915393345144
2,0.7,0.951173988644
2,0.8,0.972041695124
2,0.9,0.981568858944
4,0.1,0.526672262431
4,0.2,0.569720936361
4,0.3,0.625341337941
4,0.4,0.690715888275
4,0.5,0.757189233728
4,0.6,0.814040383968
4,0.7,0.854892716249
4,0.8,0.880330109218
4,0.9,0.894922092837
6,0.1,0.404591812512
6,0.2,0.444258816708
6,0.3,0.496083300122
6,0.4,0.556636449219
6,0.5,0.616871045011
6,0.6,0.667420752627
6,0.7,0.7043417142
6,0.8,0.7291620623
6,0.9,0.745166226171
8,0.1,0.310869539499
8,0.2,0.343475302279
8,0.3,0.386116328839
8,0.4,0.434981578747
8,0.5,0.482313589388
8,0.6,0.521765201676
8,0.7,0.551799908433
8,0.8,0.573880989554
8,0.9,0.589763257214
